acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.0,0.0,0.0,0.0,0.0021380284,0.016798794,8
-0.19076456129550934,0.13997092843055725,-0.1622588187456131,-0.0008566629840061069,0.0033597588,0.01038471,8
-0.6458420157432556,0.4735938012599945,-0.5473184585571289,-0.0035900929942727093,0.0030543262,0.0027488936,8
-1.275950312614441,0.9350830912590028,-1.0772799253463743,-0.0068028587847948074,0.006414085,0.013439035,8
-1.9820111989974976,1.4516249895095823,-1.6670446395874023,-0.01072025764733553,0.004581489,0.009468411,8
-2.6841812133789062,1.9646695852279663,-2.248939037322998,-0.013843578286468984,0.00580322,0.005192355,8
-3.3322105407714844,2.437436103820801,-2.780857563018799,-0.016516802832484245,0.008857545999999999,0.008857545999999999,8
-3.9020941257476807,2.8533840179443364,-3.244844675064087,-0.01895950734615326,0.002443461,0.0030543262,8
-4.38776159286499,3.209007740020752,-3.6380555629730233,-0.0202383603900671,0.01740966,0.013744468,8
-4.793313503265381,3.507153034210205,-3.9641151428222656,-0.02109990641474724,0.0030543262,0.0036651916,8
-5.127540588378906,3.754058122634888,-4.230522632598877,-0.021880922839045525,0.0015271631,0.008552114,8
-5.400683879852295,3.95705771446228,-4.445888042449951,-0.02296184562146664,0.010690141499999998,0.010079277,8
-5.622725486755371,4.1232872009277335,-4.618627071380615,-0.02396165207028389,0.013744468,0.009162978,8
-5.802645683288574,4.259199619293213,-4.756247520446777,-0.025537313893437386,0.01160644,0.01160644,8
-5.948164939880371,4.3703436851501465,-4.865203380584717,-0.02603103220462799,0.00030543262000000003,0.006414085,8
-6.065752983093263,4.461362361907959,-4.950913906097412,-0.02736018039286137,-0.0009162979,0.008857545999999999,8
-6.160754203796388,4.536112785339356,-5.017813205718994,-0.027850465849041942,-0.0067195175,0.008552114,8
-6.235548496246338,4.593391418457031,-5.070302963256836,-0.02723412401974201,-0.010690141499999998,0.021991149,8
-6.292128562927246,4.632347106933594,-5.1119384765625,-0.025302667170763016,0.017715093,0.04550946,8
-6.334037780761719,4.656529903411865,-5.14483642578125,-0.018654538318514824,0.035124752999999995,0.03848451,8
-6.364167213439941,4.668870449066162,-5.170710563659668,-0.009682844392955305,0.06169739,0.03634648,8
-6.384816646575928,4.671669483184815,-5.190937042236328,-0.0013774740509688856,0.05497787,0.026572637000000003,8
-6.397848606109619,4.66680383682251,-5.206624984741211,0.003887744387611747,0.052534413,0.022602014,8
-6.404712200164795,4.655683994293213,-5.218658924102783,0.0058984230272471905,0.04062254,0.011911872,8
-6.406691551208496,4.6396822929382315,-5.227767467498778,0.004825985059142114,0.03481932,-0.01038471,8
-6.404709339141847,4.619684219360352,-5.234519958496094,0.00010671124618966131,0.036957346,-0.03573562,8
-6.399563312530518,4.596511363983153,-5.2393832206726065,-0.007569645531475544,0.02565634,-0.05375614,8
-6.401551723480225,4.587208271026611,-5.261901378631592,-0.01838710531592369,-0.005192355,-0.043676864,8
-6.432636737823486,4.612074851989746,-5.3477325439453125,-0.030900850892066963,-0.022296581,-0.022296581,8
-6.459261894226074,4.6494483947753915,-5.493229389190674,-0.04052385687828064,-0.02687807,-0.020463986,8
-6.44909143447876,4.6750969886779785,-5.661542892456055,-0.045468565076589584,-0.032986723,-0.014660766,8
-6.423532962799072,4.683900356292725,-5.792890548706055,-0.0469311848282814,-0.024129177,-0.009162978,8
-6.4042725563049325,4.694224834442139,-5.857169628143311,-0.044765710830688484,-0.02443461,-0.00580322,8
-6.4016828536987305,4.705454349517822,-5.874667167663574,-0.04027978703379631,-0.02076942,0.003970624,8
-6.407236576080322,4.716607570648193,-5.846700668334961,-0.034983448684215546,-0.01740966,0.015271631,8
-6.418998718261719,4.721855163574219,-5.776557922363281,-0.029043037444353107,-0.01282817,0.018325957,8
-6.434374809265138,4.7212867736816415,-5.696272373199463,-0.024719297885894772,-0.0076358155,0.02076942,8
-6.455423355102539,4.719597816467285,-5.629953384399414,-0.02142881602048874,-0.008857545999999999,0.022296581,8
-6.482475757598878,4.720841884613037,-5.585612773895264,-0.018758995458483696,0.013744468,0.023823744,8
-6.513972282409668,4.728012561798097,-5.592970371246338,-0.015579563565552238,0.044898596,0.024740042,8
-6.532722473144531,4.730301856994629,-5.635331630706787,-0.01035671029239893,0.049480084,0.019547688,8
-6.5381107330322275,4.725629806518555,-5.678520679473878,-0.006636284291744232,0.05467244,0.02076942,8
-6.541621685028076,4.7163662910461435,-5.722027778625487,-0.0052743060514330855,0.04795292,0.01740966,8
-6.542562484741211,4.699580669403076,-5.762001514434815,-0.005556090269237757,0.050701816,0.01740966,8
-6.534949779510497,4.6865081787109375,-5.781702518463135,-0.007302892860025166,0.069027774,0.011911872,8
-6.523764133453369,4.6806640625,-5.7818360328674325,-0.01057895366102457,0.047647487,0.0070249503,8
-6.512399673461914,4.680711269378662,-5.770656108856201,-0.017164452001452446,0.024129177,0.0061086523,8
-6.503913402557372,4.685515403747559,-5.760995388031006,-0.024544773623347282,0.010079277,0.0015271631,8
-6.4840030670166025,4.695446968078613,-5.760899543762207,-0.030820868909358982,0.00061086525,-0.0015271631,8
-6.4546732902526855,4.710798740386963,-5.771603107452393,-0.03694748505949974,-0.011301007,-0.008552114,8
-6.43348503112793,4.727283954620361,-5.776301383972168,-0.04247622564435005,-0.017104227,-0.0009162979,8
-6.418826580047607,4.742439270019531,-5.775482654571532,-0.0454603023827076,-0.021685716,0.011301007,8
